date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:25	56710/56710	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:08%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-component.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-elements-component.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:25	58057/58057	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:05%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-add-on.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-elements-add-on.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:25	59463/59463	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:05%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-advance.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-elements-advance.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:25	49449/49449	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:08%20GMT	https://colorlib.com//polygon/admindek/default/form-validation.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-validation.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:25	55041/55041	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:07%20GMT	https://colorlib.com//polygon/admindek/default/form-picker.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-picker.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:26	57970/57970	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:07%20GMT	https://colorlib.com//polygon/admindek/default/form-select.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-select.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:27	49554/49554	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:06%20GMT	https://colorlib.com//polygon/admindek/default/form-masking.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-masking.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:28	61512/61512	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:09%20GMT	https://colorlib.com//polygon/admindek/default/form-wizard.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/form-wizard.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:28	56049/56049	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-basic-table.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/bs-basic-table.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:29	46501/46501	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-table-sizing.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/bs-table-sizing.html	(from https://colorlib.com//polygon/admindek/default/index.html)
